Number;Type;X;Y;Z
1;1;99.445672;-86.706245;-21.904302
1;1;-5.826270;58.188152;-9.203502
1;1;97.338654;-83.806183;-47.051697
1;1;-1.654404;52.446072;15.186361
1;1;91.185442;-75.337013;-70.195865
1;1;6.356998;41.419323;36.621603
1;1;81.476198;-61.973385;-89.493154
1;1;17.569753;25.986290;53.394705
1;1;68.984354;-44.779838;-103.406355
1;1;31.090660;7.376358;64.169531
1;1;54.705005;-25.126000;-110.827148
1;1;45.842651;-12.928015;68.087765
1;1;39.775634;-4.577484;-111.164399
1;1;60.650590;-33.309395;64.837282
1;1;25.385507;15.228827;-104.391242
1;1;74.334886;-52.144213;54.677015
1;1;12.680933;32.715173;-91.047222
1;1;85.805456;-67.932098;38.416324
1;1;2.673951;46.488602;-72.195317
1;1;94.148560;-79.415396;17.350526
1;1;-3.838288;55.451930;-49.337258
1;1;98.699592;-85.679354;-6.842289
1;1;-6.337023;58.891145;-24.293906
1;1;99.096019;-86.224988;-32.234936
1;1;-4.623207;56.532279;0.939800
1;1;95.306262;-81.008835;-56.804649
1;1;1.166639;48.563240;24.353759
1;1;87.632210;-70.446410;-78.594222
1;1;10.571299;35.618835;44.082827
1;1;76.685175;-55.379109;-95.867908
1;1;22.841604;18.730210;58.555397
1;1;63.337191;-37.007185;-107.249695
1;1;37.000107;-0.757299;66.618595
1;1;48.651551;-16.794135;-111.832917
1;1;51.918952;-21.291326;67.630109
1;1;33.798104;3.649881;-109.252478
1;1;66.409710;-41.236144;61.509363
1;1;19.960067;22.696305;-99.713933
1;1;79.318057;-59.002959;48.743933
1;1;8.239771;38.827909;-83.977117
1;1;89.615720;-73.176477;30.350704
1;1;-0.429153;50.759659;-63.295616
1;1;96.482395;-82.627645;7.794872
1;1;-5.356143;57.541078;-39.316908
1;1;99.371086;-86.603586;-17.126779
1;1;-6.148717;58.631963;-13.951121
1;1;98.051681;-84.787581;-42.429006
1;1;-2.743740;53.945415;10.781121
1;1;92.629283;-77.324290;-66.096246
1;1;4.587549;43.854760;32.909660
1;1;83.535837;-64.808236;-86.243181
1;1;15.261145;29.163816;50.671750
1;1;71.495723;-48.236440;-101.264918
1;1;28.426795;11.042853;62.652474
1;1;57.468048;-28.929002;-109.964834
1;1;43.035731;-9.064622;67.897453
1;1;42.570250;-8.423942;-111.649898
1;1;57.924213;-29.556859;65.988876
1;1;27.989077;11.645320;-106.185880
1;1;71.906233;-48.801459;57.078779
1;1;14.886059;29.680077;-94.008039
1;1;83.867992;-65.265408;41.876934
1;1;4.304974;44.243692;-76.086457
1;1;92.856623;-77.637197;21.594314
1;1;-2.911295;54.176034;-53.848754
1;1;98.156096;-84.931296;-2.153382
1;1;-6.187904;58.685899;-29.066376
1;1;99.344259;-86.566662;-27.474425
1;1;-5.263840;57.414034;-3.713470
1;1;96.326464;-82.413023;-52.351755
1;1;-0.212713;50.461755;20.190364
1;1;89.343105;-72.801254;-74.803658
1;1;8.563106;38.382877;40.740962
1;1;78.950474;-58.497025;-93.041629
1;1;20.364540;22.139595;56.301273
1;1;65.976441;-40.639800;-105.612841
1;1;34.251496;3.025841;65.631773
1;1;51.454511;-20.652078;-111.515879
1;1;49.117744;-17.435795;67.989200
1;1;36.541492;-0.126068;-110.280511
1;1;63.779050;-37.615351;63.185762
1;1;22.425346;19.303139;-102.005144
1;1;77.067500;-55.905334;51.604098
1;1;10.230559;36.087824;-87.348990
1;1;87.924546;-70.848776;34.166797
1;1;0.928559;48.890929;-67.479549
1;1;95.485321;-81.255289;12.262904
1;1;-4.739662;56.692565;-43.979611
1;1;99.147538;-86.295899;-12.362729
1;1;-6.322576;58.871259;-18.721166
1;1;98.619467;-85.569071;-37.748437
1;1;-3.694089;55.253458;6.283712
1;1;93.943173;-79.132705;-61.872012
1;1;2.936415;46.127352;29.043149
1;1;85.491169;-67.499519;-82.811781
1;1;13.040753;32.219923;47.744141
1;1;73.936734;-51.596204;-98.899696
1;1;25.814021;14.639028;60.896978
1;1;60.200290;-32.689611;-108.854201
1;1;40.238707;-5.214848;67.453913
1;1;45.376073;-12.285827;-111.882328
