Number;Type;X;Y;Z
1;1;-6.618124;-148.012311;25.402012
1;1;14.780469;-112.399072;-30.215596
1;1;48.319004;-56.581576;-6.151212
1;1;45.947640;-60.528188;63.118707
1;1;11.063772;-118.584694;78.352837
1;1;-6.355332;-147.574952;17.725611
1;1;18.646253;-105.965327;-31.903822
1;1;50.249367;-53.368914;0.567418
1;1;43.176997;-65.139312;68.618576
1;1;7.561557;-124.413360;74.754417
1;1;-5.571582;-146.270572;10.184271
1;1;22.593110;-99.396655;-32.583788
1;1;51.704764;-50.946726;7.722996
1;1;40.055823;-70.333818;73.358076
1;1;4.335442;-129.782517;70.287672
1;1;-4.280661;-144.122120;2.910678
1;1;26.551595;-92.808628;-32.243530
1;1;52.659589;-49.357630;15.189626
1;1;36.639033;-76.020312;77.253819
1;1;1.442188;-134.597700;65.031192
1;1;-2.505284;-141.167397;-3.967195
1;1;30.452064;-86.317159;-30.889034
1;1;53.097043;-48.629585;22.835937
1;1;32.986743;-82.098744;80.237262
1;1;-1.067299;-138.774187;59.077461
1;1;-0.276687;-137.458388;-10.328334
1;1;34.225888;-80.036460;-28.544133
1;1;53.009428;-48.775400;30.527396
1;1;29.163213;-88.462166;82.255913
1;1;-3.148866;-142.238497;52.531232
1;1;2.365919;-133.060353;-16.060821
1;1;37.806670;-74.077038;-25.250083
1;1;52.398287;-49.792510;38.128677
1;1;25.235715;-94.998620;83.274255
1;1;-4.765890;-144.929676;45.507681
1;1;5.376039;-128.050671;-21.063794
1;1;41.131409;-68.543744;-21.064840
1;1;51.274371;-51.663019;45.506041
1;1;21.273352;-101.593099;83.274371
1;1;-5.889920;-146.800376;38.130383
1;1;8.700713;-122.517485;-25.249231
1;1;44.141607;-63.533933;-16.062043
1;1;49.657457;-54.354017;52.529686
1;1;17.345839;-108.129579;82.256258
1;1;-6.501179;-147.817682;30.529138
1;1;12.281444;-116.558148;-28.543491
1;1;46.784302;-59.135750;-10.329711
1;1;47.575991;-57.818158;59.076038
1;1;13.522278;-114.493054;80.237831
1;1;-6.588913;-147.963696;22.837684
1;1;16.055232;-110.277510;-30.888613
1;1;49.012998;-55.426577;-3.968702
1;1;45.066597;-61.994491;65.029915
1;1;9.869941;-120.571563;77.254602
