Number;Type;X;Y;Z
1;3;75.150908;-41.655916;101.630234
1;3;0.734822;-37.749160;34.258151
1;3;-19.925730;52.303355;-26.629635
1;3;53.132477;56.918631;35.506297
1;3;38.965836;-17.628439;58.378735
1;3;18.220766;20.912662;21.839971
1;3;-8.924827;31.472259;-7.067093
1;3;2.962101;-39.819002;37.200549
1;3;47.240048;15.296098;50.053056
1;3;30.071891;15.400217;34.887962
1;3;4.934577;29.234831;6.196284
1;3;32.057213;27.981331;30.670777
1;3;46.504761;13.552762;50.232251
1;3;2.507963;0.638236;17.618455
1;3;35.083700;42.485328;26.458580
1;3;27.105066;14.816115;32.552760
1;3;4.915304;-6.921638;23.322412
1;3;18.783360;41.308894;12.664713
1;3;15.452707;-38.781381;47.705947
1;3;34.793413;-32.251901;61.638635
1;3;41.905309;-21.476265;62.791193
1;3;-8.168421;-26.968482;21.307766
1;3;-21.284027;-20.366938;6.630080
1;3;35.809726;-18.769231;56.140825
1;3;45.283735;6.477963;52.511617
1;3;-16.003558;0.790370;1.247828
1;3;3.865043;-35.350477;35.876856
1;3;36.822291;22.128798;37.641095
1;3;-0.691399;47.108360;-7.231605
1;3;14.077605;-32.499396;43.516719
1;3;32.382123;34.777125;27.734712
1;3;-11.657851;55.717021;-20.968712
1;3;36.940700;55.786608;21.786957
1;3;-17.303651;16.005259;-7.110774
1;3;61.156009;51.100077;45.329415
1;3;47.251813;-7.639428;60.937982
1;3;57.484787;-30.809869;80.933568
1;3;11.059307;-7.113279;28.822772
1;3;38.412274;-33.136986;65.244517
1;3;-10.881329;-0.572114;6.403704
1;3;47.294840;-9.190870;61.711460
1;3;22.419203;-31.962415;50.606488
1;3;22.594769;7.027523;32.274518
1;3;75.198571;10.221176;77.075383
1;3;58.843357;26.172815;55.112160
1;3;-16.242032;-11.969595;7.087826
1;3;46.835290;-9.911434;61.648494
1;3;22.354948;50.972410;11.227498
1;3;58.927752;52.304132;42.796656
1;3;49.574337;-37.006471;76.906835
1;3;53.570484;31.282003;48.047199
1;3;-7.626804;1.459229;8.306022
1;3;56.999589;-41.961274;85.793661
1;3;17.529957;50.193841;7.348475
1;3;41.837994;-0.877551;52.965326
1;3;22.370654;31.792338;20.335296
1;3;-13.531861;-1.024099;4.284342
1;3;58.588034;-42.334137;87.368998
1;3;-9.470576;-10.246283;12.232680
1;3;58.610951;-9.418663;71.782751
1;3;72.620199;29.336844;65.741818
1;3;69.224773;-14.228904;83.408416
1;3;64.902826;45.323792;51.367053
1;3;67.750607;28.782580;61.717175
1;3;21.961443;-37.228618;52.700351
1;3;5.258804;12.158077;14.578461
1;3;36.488192;-32.979881;63.475967
1;3;-1.141345;-17.277347;22.899845
1;3;47.965757;-3.337551;59.526899
1;3;-6.085721;41.762757;-9.446498
1;3;63.566385;43.223427;51.186241
1;3;-8.416008;-19.717541;17.651843
1;3;-16.247074;-2.006706;2.359619
1;3;-23.029950;-23.254705;6.462076
1;3;14.553262;-8.933759;32.762186
1;3;-2.880894;0.826116;12.784747
1;3;11.278448;-14.686254;32.606339
1;3;76.651780;1.136355;82.662307
1;3;12.609554;-13.822141;33.368605
1;3;5.063809;-23.278771;31.208676
1;3;-8.579706;-35.909874;25.185090
1;3;-15.139790;56.020877;-24.178460
1;3;-21.937485;15.302576;-10.857472
1;3;5.774348;0.287298;20.660740
1;3;2.090479;29.347696;3.638681
1;3;35.238565;49.095847;23.460643
1;3;51.621902;-23.046028;72.090462
1;3;25.482570;24.473504;26.545312
1;3;-1.299259;-39.414144;33.256671
1;3;26.582133;1.746554;38.289097
1;3;17.754789;34.034364;15.208225
1;3;38.308393;27.488842;36.408145
1;3;52.502777;-28.071911;75.248985
1;3;-15.602507;1.243966;1.385867
1;3;-2.262315;41.853679;-6.123284
1;3;53.693017;26.469046;50.437081
1;3;43.901632;45.524055;32.781569
1;3;-16.393763;2.840399;-0.067723
1;3;-9.547698;17.481325;-0.981891
1;3;-8.796676;52.659164;-16.999745
1;3;61.748491;26.404316;57.560225
1;3;17.743643;22.216882;20.801509
1;3;26.999012;51.102458;15.254710
1;3;62.009181;19.699585;60.968708
1;3;-15.806508;3.475592;0.148158
1;3;64.326412;41.728058;52.564416
1;3;68.476543;-21.336036;86.119386
1;3;16.873498;53.766838;5.076408
1;3;60.416089;7.561411;65.321217
1;3;21.933028;8.660947;30.917421
1;3;-7.190335;-7.929883;13.142031
1;3;44.810682;-42.295290;75.220290
1;3;34.439485;-34.869482;62.568109
1;3;34.680552;37.680886;28.381588
1;3;6.233049;25.798876;8.968637
1;3;-10.056027;24.245211;-4.636454
1;3;43.721693;11.230670;48.882883
1;3;73.438740;-37.753090;98.272281
1;3;32.802384;-28.981287;58.334914
1;3;5.138390;-21.147191;30.263681
1;3;56.291801;-33.184299;81.009005
1;3;-7.430300;-32.960825;24.798833
