Number;Type;X;Y;Z
1;2;81.559337;98.065696;6.542300
1;2;-55.750145;98.065696;16.279581
1;2;78.811087;98.065696;-12.737369
1;2;-50.308651;98.065696;34.978476
1;2;70.785260;98.065696;-30.481231
1;2;-39.859129;98.065696;51.412161
1;2;58.121190;98.065696;-45.275820
1;2;-25.233982;98.065696;64.271539
1;2;41.827689;98.065696;-55.942607
1;2;-7.598241;98.065696;72.532239
1;2;23.202687;98.065696;-61.631882
1;2;11.643242;98.065696;75.536218
1;2;3.729843;98.065696;-61.890441
1;2;30.957699;98.065696;73.044182
1;2;-15.039650;98.065696;-56.697687
1;2;48.806554;98.065696;65.254643
1;2;-31.610622;98.065696;-46.467272
1;2;63.767977;98.065696;52.788113
1;2;-44.663041;98.065696;-32.014144
1;2;74.650148;98.065696;36.637668
1;2;-53.157159;98.065696;-14.489633
1;2;80.586201;98.065696;18.089843
1;2;-56.416337;98.065696;4.710270
1;2;81.103273;98.065696;-1.377852
1;2;-54.180954;98.065696;24.056112
1;2;76.160175;98.065696;-20.214633
1;2;-46.629076;98.065696;42.006814
1;2;66.150670;98.065696;-36.919972
1;2;-34.362284;98.065696;57.132432
1;2;51.872110;98.065696;-50.163131
1;2;-18.357742;98.065696;68.228070
1;2;34.461917;98.065696;-58.889168
1;2;0.109636;98.065696;74.409854
1;2;15.306978;98.065696;-62.402972
1;2;19.568751;98.065696;75.185349
1;2;-4.066837;98.065696;-60.424635
1;2;38.469499;98.065696;70.492777
1;2;-22.116221;98.065696;-53.111750
1;2;55.306259;98.065696;60.705947
1;2;-37.403369;98.065696;-41.046858
1;2;68.737824;98.065696;46.604472
1;2;-48.710517;98.065696;-25.191041
1;2;77.694243;98.065696;29.311667
1;2;-55.136944;98.065696;-6.807364
1;2;81.462052;98.065696;10.205068
1;2;-56.170724;98.065696;12.639739
1;2;79.741111;98.065696;-9.193306
1;2;-51.729506;98.065696;31.601124
1;2;72.668508;98.065696;-27.338190
1;2;-42.167076;98.065696;48.566338
1;2;60.807643;98.065696;-42.784174
1;2;-28.245171;98.065696;62.183940
1;2;45.103345;98.065696;-54.300839
1;2;-11.072803;98.065696;71.369162
1;2;26.806611;98.065696;-60.970774
1;2;7.982088;98.065696;75.390312
1;2;7.374947;98.065696;-62.262657
1;2;27.401601;98.065696;73.927070
1;2;-11.643732;98.065696;-58.073576
1;2;45.638787;98.065696;67.095995
1;2;-28.734408;98.065696;-48.737232
1;2;61.240883;98.065696;55.441248
1;2;-42.535648;98.065696;-34.997352
1;2;72.965035;98.065696;39.891239
1;2;-51.948053;98.065696;-17.948447
1;2;79.877303;98.065696;21.684672
1;2;-56.221836;98.065696;1.051377
1;2;81.427061;98.065696;2.271873
1;2;-55.016550;98.065696;20.488605
1;2;77.490856;98.065696;-16.800747
1;2;-48.428209;98.065696;38.814878
1;2;68.382243;98.065696;-34.013873
1;2;-36.981634;98.065696;54.570336
1;2;54.826810;98.065696;-47.996317
1;2;-21.588654;98.065696;66.499908
1;2;37.904373;98.065696;-57.634247
1;2;-3.475464;98.065696;73.653291
1;2;18.962966;98.065696;-62.159909
1;2;15.915049;98.065696;75.460652
1;2;-0.488551;98.065696;-61.212793
1;2;35.038247;98.065696;71.778016
1;2;-18.900680;98.065696;-54.868345
1;2;52.370789;98.065696;62.898740
1;2;-34.806722;98.065696;-43.631960
1;2;66.531973;98.065696;49.530143
1;2;-46.939612;98.065696;-28.398723
1;2;76.393728;98.065696;32.737158
1;2;-54.332849;98.065696;-10.382103
1;2;81.170471;98.065696;13.857507
1;2;-56.397493;98.065696;8.982704
1;2;80.481692;98.065696;-5.604870
1;2;-52.969076;98.065696;28.153111
1;2;74.382256;98.065696;-24.099610
1;2;-44.320702;98.065696;45.602012
1;2;63.358042;98.065696;-40.153434
1;2;-31.141298;98.065696;59.939440
1;2;48.287233;98.065696;-52.487502
1;2;-14.480725;98.065696;70.023282
1;2;30.370359;98.065696;-60.119289
1;2;4.333843;98.065696;75.050265
1;2;11.034670;98.065696;-62.440853
1;2;23.803649;98.065696;74.619943
1;2;-8.179565;98.065696;-59.267258
1;2;42.377740;98.065696;68.766595
1;2;-25.741751;98.065696;-50.851312
1;2;58.576514;98.065696;57.956495
1;2;-40.252894;98.065696;-37.863423
1;2;71.109586;98.065696;43.050770
1;2;-50.557045;98.065696;-21.338200
1;2;78.978578;98.065696;25.236802
1;2;-55.833382;98.065696;-2.592032
1;2;81.556652;98.065696;5.933640
1;2;-55.661593;98.065696;16.881771
1;2;78.638440;98.065696;-13.321037
1;2;-50.055365;98.065696;35.531938
1;2;70.456404;98.065696;-30.993411
1;2;-39.461285;98.065696;51.872807
1;2;57.662321;98.065696;-45.675713
1;2;-24.723272;98.065696;64.602674
1;2;41.275360;98.065696;-56.198357
1;2;-7.015348;98.065696;72.707485
1;2;81.494091;101.065696;6.542300
1;2;-55.685552;101.065696;16.270373
1;2;78.748439;101.065696;-12.719138
1;2;-50.249203;101.065696;34.951586
1;2;70.730202;101.065696;-30.446222
1;2;-39.809562;101.065696;51.369732
1;2;58.078107;101.065696;-45.226821
1;2;-25.198244;101.065696;64.216950
1;2;41.800012;101.065696;-55.883521
1;2;-7.579180;101.065696;72.469839
1;2;23.192623;101.065696;-61.567416
1;2;11.644108;101.065696;75.470978
1;2;3.738192;101.065696;-61.825731
1;2;30.940302;101.065696;72.981297
1;2;-15.013552;101.065696;-56.637887
1;2;48.772279;101.065696;65.199125
1;2;-31.568855;101.065696;-46.417146
1;2;63.719554;101.065696;52.744383
1;2;-44.608932;101.065696;-31.977685
1;2;74.591435;101.065696;36.609210
1;2;-53.095017;101.065696;-14.469745
1;2;80.521875;101.065696;18.078924
1;2;-56.351114;101.065696;4.712003
1;2;81.038458;101.065696;-1.370363
1;2;-54.117844;101.065696;24.039551
1;2;76.100034;101.065696;-20.189331
1;2;-46.573108;101.065696;41.973278
1;2;66.099994;101.065696;-36.878874
1;2;-34.317915;101.065696;57.084594
1;2;51.834936;101.065696;-50.109510
1;2;-18.328507;101.065696;68.169740
1;2;34.441206;101.065696;-58.827296
1;2;0.121409;101.065696;74.345679
